,geo_name,year,month,candidate_count,winner,pid_est,gender_est,race_est,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,challenger_win
0,New York,1993,November,5,0,Democrat,Male,Black,0.529238973373532,0.499826019156776,0.280773008477616,0.251431636317003,0.200464219846201,1
1,New York,1997,November,6,1,Republican,Male,Caucasian,0.527510845324756,0.469403162561867,0.272299896973666,0.261922178255771,0.219124182765178,0
2,New York,2017,November,7,1,Democrat,Male,Caucasian,0.523626277331531,0.431090707038202,0.246823068276643,0.289246664709414,0.175935474648015,0
3,New York,2005,November,8,1,Republican,Male,Caucasian,0.525646773085678,0.443310286840985,0.260708068207853,0.27777198392884,0.245356809277593,0
4,New York,2009,November,12,1,Republican,Male,Caucasian,0.525192392123681,0.440689700221225,0.256518472097574,0.284157503304035,0.255146932736139,0
5,Chicago,1999,February,2,1,Democrat,Male,Caucasian,0.515385710598579,0.423075254370956,0.370048649938449,0.253819957826932,0.177183858224164,0
6,Chicago,2003,February,4,1,Democrat,Male,Caucasian,0.514790979059313,0.428734966810813,0.356208952215384,0.268845870304226,0.182534350878465,0
7,Chicago,1995,April,4,1,Democrat,Male,Caucasian,0.517673355507798,0.43677366744928,0.379244470679977,0.228160788797647,0.166358349468566,0
8,Phoenix,2020,November,5,1,Democrat,Female,Hispanic,0.501673895617743,0.728730931766173,0.0711609248403415,0.426193358672935,0.0378942778917794,0
9,Chicago,2015,April,2,1,Democrat,Male,Caucasian,0.514192179361558,0.474933189290023,0.312721090376807,0.288436248948182,0.127481289826554,0
10,Los Angeles,2017,March,11,1,Democrat,Male,Hispanic,0.503834866068123,0.513772503355547,0.0913773562974023,0.484678217809983,0.18697613310641,0
11,Chicago,2007,February,3,1,Democrat,Male,Caucasian,0.514760551976698,0.440847387756731,0.340821295498473,0.280327363930855,0.186059838165667,0
12,Philadelphia,2003,November,3,1,Democrat,Male,Black,0.533246220460796,0.438280243481239,0.432623816603996,0.0963533454935849,0.101887959061577,0
13,Los Angeles,1997,April,5,1,Republican,Male,Caucasian,0.50042873624252,0.486997559040278,0.120636281553908,0.445449440535844,0.349143771768968,0
14,Philadelphia,1995,November,4,1,Democrat,Male,Caucasian,0.53503433383343,0.492717071931679,0.415356217336226,0.0706053497520882,0.0784336426679577,0
15,Philadelphia,2019,November,2,1,Democrat,Male,Caucasian,0.526801671412432,0.40698122090542,0.422579825527148,0.144442628487433,0.0774661615591662,0
16,Los Angeles,2005,May,2,0,Democrat,Male,Caucasian,0.501713836289845,0.483582925553084,0.104321406245927,0.475053854625041,0.35535497672232,1
17,San Diego,2016,June,3,1,Republican,Male,Caucasian,0.49517941229391,0.62624433957426,0.0652579322793135,0.29705002966743,0.21507937541661,0
18,Louisville,2018,November,9,1,Democrat,Male,Caucasian,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601,0
19,Baltimore,2004,November,4,1,Democrat,Male,Caucasian,0.531914398507819,0.308216716799073,0.640986045106435,0.02691452629387,0.0302541496693132,0
20,Louisville,2014,November,2,1,Democrat,Male,Caucasian,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601,0
21,Honolulu,2008,November,2,1,Democrat,Unknown,Asian,0.508611434736868,0.196667895398176,0.0162461624562433,0.0436666065754177,0.635970801034287,0
22,Washington,2018,November,4,1,Democrat,Female,Black,0.525969981947,0.407080734616827,0.471931170773017,0.106192639912955,0.0470671631977481,0
23,Austin,2018,November,7,1,Democrat,Male,Caucasian,0.492791167062627,0.717621412336756,0.0789312229682711,0.341583984537161,0.0993051124117755,0
24,Louisville,2002,November,4,1,Democrat,Male,Caucasian,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601,0
25,Houston,1993,November,5,1,Democrat,Male,Caucasian,0.502868085684657,0.516618817198516,0.272551030344273,0.305625133579397,0.198302572605702,0
26,Houston,2005,November,5,1,Democrat,Male,Caucasian,0.499420653998524,0.49892821845768,0.24527160434818,0.4060788108491,0.217980464170445,0
27,Portland,2020,November,2,1,Democrat,Male,Caucasian,0.504302709940167,0.773760985353895,0.0580451300266082,0.0971592661295447,0.0817522637073816,0
28,Louisville,2006,November,3,1,Democrat,Male,Caucasian,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601,0
29,Houston,2001,December,2,1,Democrat,Male,Black,0.500401935850915,0.493968577930397,0.251547422176894,0.380500529866483,0.218236646756503,0
30,San Diego,2004,November,3,1,Republican,Male,Caucasian,0.495338871596976,0.596635614217108,0.0740958578144913,0.267447541659127,0.273835882186334,0
31,San Diego,1996,March,6,1,Republican,Female,Caucasian,0.493427318335765,0.629544760906755,0.084740795216559,0.235072781742648,0.2505903641985,0
32,Portland,1996,November,1,1,Democrat,Female,Caucasian,0.50956663242691,0.806012413348364,0.0704875574823231,0.0535782400909217,0.0873303379080014,0
33,San Diego,2014,February,2,1,Republican,Male,Caucasian,0.495020686823631,0.613806925004993,0.0659286387190469,0.293902871438806,0.239020696811145,0
34,Portland,2000,November,1,1,Democrat,Female,Caucasian,0.505661275965233,0.779105346414147,0.066364782346571,0.0681469833932125,0.102477505145326,0
35,Los Angeles,2009,March,10,1,Democrat,Male,Hispanic,0.501871314402543,0.494996930022486,0.0978807825025402,0.482884381285759,0.352774861878979,0
36,Honolulu,2016,November,2,1,Democrat,Male,Caucasian,0.508611434736868,0.196667895398176,0.0162461624562433,0.0436666065754177,0.635970801034287,0
37,Honolulu,1996,November,2,1,Democrat,Male,Caucasian,0.507662535298416,0.224800053912508,0.0150270509418464,0.0444920859803368,0.668270756754522,0
38,Houston,1999,November,3,1,Democrat,Male,Black,0.500964517652676,0.496141546284282,0.25589275573553,0.364322984472053,0.215443818146258,0
39,Detroit,1997,November,2,1,Democrat,Male,Black,0.530949133602779,0.150680202156386,0.797882356028193,0.0430176835591648,0.0318411307598291,0
40,Philadelphia,2011,November,3,1,Democrat,Male,Black,0.528135866611956,0.409989926134628,0.432470365212877,0.125331407443687,0.118046268591652,0
41,San Francisco,1999,December,2,1,Democrat,Male,Black,0.492441582386285,0.500506993018788,0.081036296646384,0.140794186167499,0.375440007048724,0
42,San Francisco,2019,November,7,1,Democrat,Female,Black,0.490216697619038,0.466157343053277,0.0529287243505919,0.152251873709078,0.349905651395553,0
43,Virginia Beach,2012,November,3,1,Republican,Male,Caucasian,0.509999270255373,0.674409902286641,0.194992511321308,0.0692866071571693,0.0792271302542176,0
44,Detroit,2005,November,2,1,Democrat,Male,Black,0.527813881726141,0.114354360389404,0.821208608297694,0.0588911801198149,0.0382171196204226,0
45,Columbus,2011,November,3,1,Democrat,Male,Black,0.511650325260949,0.611737104895286,0.280842383862848,0.0568954302894796,0.0686274422715178,0
46,San Jose,2018,June,4,1,Democrat,Male,Caucasian,0.49564419740138,0.404803065906778,0.0303802710554103,0.319188144502536,0.383682058871945,0
47,Seattle,1993,November,2,1,Democrat,Male,Black,0.508634302630441,0.737536630005694,0.0957526029207671,0.0407051102190352,0.140372470509587,0
48,San Francisco,2018,June,9,1,Democrat,Female,Black,0.490497272370885,0.468230001189169,0.053791128030891,0.15213809912069,0.355775397190742,0
49,Baton Rouge,2012,November,4,1,Democrat,Male,Black,0.519371621228855,0.392312778501433,0.545600030300191,0.0339909305859953,0.043758683749344,0
50,Seattle,2005,November,2,1,Democrat,Male,Caucasian,0.500880125071502,0.69784574163375,0.0818835755376836,0.0595052398808797,0.163310002062505,0
51,Virginia Beach,2020,November,3,1,Republican,Male,Caucasian,0.50838847536989,0.662697328526591,0.190157285301454,0.0817079482275695,0.066925662093154,0
52,Houston,2019,December,2,1,Democrat,Male,Black,0.500520183204619,0.563723423232366,0.227031029281768,0.448484810533993,0.0827118986509193,0
53,Milwaukee,2016,April,2,1,Democrat,Male,Caucasian,0.518334590140961,0.445222851672575,0.392373082524877,0.183119375835419,0.0697851149401834,0
55,San Francisco,2007,November,12,1,Democrat,Male,Caucasian,0.492423664048248,0.488348810340252,0.0658561467092392,0.148153601852613,0.395379757999755,0
56,San Francisco,2015,November,11,1,Democrat,Male,Asian,0.491338996626427,0.474447975596845,0.0563783390717885,0.151796775355524,0.373384634576309,0
