,geo_name,year,votes,vote_share,incumbent,winner,prob_democrat,prob_republican,pid_est,prob_male,prob_female,gender_est,prob_black,prob_white,prob_hispanic,prob_asian,prob_other,race_est,contributor.cfscore,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,candidate_count,cpi_prevYear,unemployment_prevYear,pid_est_knn,gender_est_knn,race_est_knn
3244,Abilene,1996,3826.0,0.89,1.0,1,0.05,0.95,Republican,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,1.02,0.50245913580742,0.798015588404431,0.0808989387273229,0.178764127770061,0.101589577272609,2,152.38333333333335,5.6,1.0,1.0,2.0
4719,Abilene,1996,451.0,0.11,0.0,0,0.5732651225545311,0.42673487744546884,Unknown,1.0,0.0,Male,0.03,0.97,0.0,0.0,0.0,Caucasian,-0.14590909090909085,0.50245913580742,0.798015588404431,0.0808989387273229,0.178764127770061,0.101589577272609,2,152.38333333333335,5.6,0.4171351472903081,1.0,2.0
530,Akron,2003,26967.0,0.71,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.85,0.520663760458938,0.65721120090292,0.293765990810354,0.0145147172226172,0.0224473555043762,2,179.86666666666667,5.8,0.0,1.0,2.0
1480,Akron,2003,11171.0,0.29,0.0,0,0.0,1.0,Republican,1.0,0.0,Male,0.58,0.41,0.0,0.0,0.0,Black,0.55,0.520663760458938,0.65721120090292,0.293765990810354,0.0145147172226172,0.0224473555043762,2,179.86666666666667,5.8,1.0,1.0,1.0
419,Akron,2011,31674.0,0.7,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.3620114576702737,0.517043403615361,0.619836889720399,0.313499131407116,0.022048018745751,0.030918674100322,2,218.0761666666667,9.6,0.0,1.0,2.0
1247,Akron,2011,13389.0,0.3,0.0,0,0.0,1.0,Republican,0.02,0.98,Female,0.0,0.98,0.01,0.0,0.0,Caucasian,0.87,0.517043403615361,0.619836889720399,0.313499131407116,0.022048018745751,0.030918674100322,2,218.0761666666667,9.6,1.0,0.0,2.0
790,Akron,2019,19959.0,0.77,1.0,1,1.0,0.0,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.17,0.520880964515552,0.601222982321621,0.304370993371691,0.0274713932610033,0.0447087278440867,2,251.09949999999995,3.9,0.0,1.0,2.0
2587,Akron,2019,5832.0,0.23,0.0,0,0.0,1.0,Republican,0.97,0.03,Male,0.01,0.98,0.01,0.0,0.0,Caucasian,0.81,0.520880964515552,0.601222982321621,0.304370993371691,0.0274713932610033,0.0447087278440867,2,251.09949999999995,3.9,1.0,1.0,2.0
1760,Alameda,2010,9298.0,0.37,0.0,1,0.83,0.17,Democrat,0.0,1.0,Female,1.0,0.0,0.0,0.0,0.0,Black,-0.3620114576702737,0.521554760743511,0.50750555465236,0.0644746111743348,0.109629870481764,0.350918549829296,5,214.56466666666668,9.3,0.0,0.0,1.0
2512,Alameda,2010,6074.0,0.24,0.0,0,0.95,0.05,Democrat,1.0,0.0,Male,0.0,1.0,0.0,0.0,0.0,Caucasian,-0.11,0.521554760743511,0.50750555465236,0.0644746111743348,0.109629870481764,0.350918549829296,5,214.56466666666668,9.3,0.0,1.0,2.0
