contest,full_name,ledb_candid,fips,geo_name,year,month,votes,vote_share,incumbent,winner,n_winners,prob_democrat,prob_republican,pid_est,prob_male,prob_female,gender_est,prob_black,prob_white,prob_hispanic,prob_asian,prob_other,race_est,contributor.cfscore,bonica.cid,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,candidate_count,cpi_prevYear,unemployment_prevYear
3651000_1993_11_new york_NY_Mayor_mayor_1,rudolph giuliani,35608,3651000,new york,1993,11.0,930236.0,0.51,0.0,win,1,0.12,0.88,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.84,4667066039.0,0.529238973373532,0.499826019156776,0.280773008477616,0.251431636317003,0.200464219846201,5,140.3083333333333,7.5
3651000_1993_11_new york_NY_Mayor_mayor_1,david dinkins,35567,3651000,new york,1993,11.0,876896.0,0.48,1.0,lose,1,1.0,0.0,D,1.0,0.0,M,1.0,0.0,0.0,0.0,0.0,black,-0.49,30567015007.0,0.529238973373532,0.499826019156776,0.280773008477616,0.251431636317003,0.200464219846201,5,140.3083333333333,7.5
3651000_2013_11_new york_NY_Mayor_mayor_1,bill de blasio,34761,3651000,new york,2013,11.0,795679.0,0.73,0.0,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.524456288503903,0.43620147648282,0.251764785301421,0.287250789531368,0.222597754049593,18,229.58608333333333,8.1
3651000_1997_11_new york_NY_Mayor_mayor_1,rudy giuliani,35608,3651000,new york,1997,11.0,783815.0,0.58,1.0,win,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.55,3300166123.0,0.527510845324756,0.469403162561867,0.272299896973666,0.261922178255771,0.219124182765178,6,156.85833333333332,5.4
3651000_2017_11_new york_NY_Mayor_mayor_1,bill de blasio,34761,3651000,new york,2017,11.0,760112.0,0.66,1.0,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.523626277331531,0.431090707038202,0.246823068276643,0.289246664709414,0.175935474648015,7,240.00541666666666,4.9
3651000_2005_11_new york_NY_Mayor_mayor_1,michael bloomberg,35590,3651000,new york,2005,11.0,753089.0,0.58,1.0,win,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.525646773085678,0.443310286840985,0.260708068207853,0.27777198392884,0.245356809277593,8,188.9083333333333,5.5
3651000_2009_11_new york_NY_Mayor_mayor_1,michael 'mike' bloomberg,35590,3651000,new york,2009,11.0,585470.0,0.51,1.0,win,1,0.06,0.94,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.525192392123681,0.440689700221225,0.256518472097574,0.284157503304035,0.255146932736139,12,215.25424999999998,5.8
3651000_1997_11_new york_NY_Mayor_mayor_1,ruth messinger,35611,3651000,new york,1997,11.0,549335.0,0.4,0.0,lose,1,1.0,0.0,D,0.02,0.98,F,0.0,1.0,0.0,0.0,0.0,caucasian,-0.83,5000005462846415.0,0.527510845324756,0.469403162561867,0.272299896973666,0.261922178255771,0.219124182765178,6,156.85833333333332,5.4
3651000_2009_11_new york_NY_Mayor_mayor_1,william 'bill' thompson,35625,3651000,new york,2009,11.0,534876.0,0.46,0.0,lose,1,,,,1.0,0.0,M,1.0,0.0,0.0,0.0,0.0,black,,,0.525192392123681,0.440689700221225,0.256518472097574,0.284157503304035,0.255146932736139,12,215.25424999999998,5.8
3651000_2005_11_new york_NY_Mayor_mayor_1,fernando ferrer,35572,3651000,new york,2005,11.0,503219.0,0.39,0.0,lose,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.07,30521715128.0,0.525646773085678,0.443310286840985,0.260708068207853,0.27777198392884,0.245356809277593,8,188.9083333333333,5.5
1714000_1999_2_chicago_IL_Mayor_mayor_1,richard daley,9991,1714000,chicago,1999,2.0,429746.0,0.72,1.0,win,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.45,33316410067.0,0.515385710598579,0.423075254370956,0.370048649938449,0.253819957826932,0.177183858224164,2,163.00833333333335,4.5
1714000_2003_2_chicago_IL_Mayor_mayor_1,richard daley,9991,1714000,chicago,2003,2.0,363553.0,0.78,1.0,win,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.45,33316410067.0,0.514790979059313,0.428734966810813,0.356208952215384,0.268845870304226,0.182534350878465,4,179.86666666666667,5.8
1714000_1995_4_chicago_IL_Mayor_mayor_1,richard daley,9991,1714000,chicago,1995,4.0,360372.0,0.6,1.0,win,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.45,33316410067.0,0.517673355507798,0.43677366744928,0.379244470679977,0.228160788797647,0.166358349468566,4,148.225,6.1
455000_2020_11_phoenix_AZ_Mayor_mayor_1,kate gallego,45605,455000,phoenix,2020,11.0,349959.0,0.61,1.0,win,1,1.0,0.0,D,0.0,1.0,F,0.0,0.0,1.0,0.0,0.0,hispanic,-0.74,5000026571903843.0,0.501673895617743,0.728730931766173,0.0711609248403415,0.426193358672935,0.0378942778917794,5,255.65258333333335,3.7
1714000_2015_4_chicago_IL_Mayor_mayor_1,rahm emanuel,9992,1714000,chicago,2015,4.0,332171.0,0.56,1.0,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.56,3153127123.0,0.514192179361558,0.474933189290023,0.312721090376807,0.288436248948182,0.127481289826554,2,236.715,6.2
644000_2017_3_los angeles_CA_Mayor_mayor_1,eric garcetti,69968,644000,los angeles,2017,3.0,331310.0,0.81,1.0,win,1,1.0,0.0,D,1.0,0.0,M,0.0,0.0,1.0,0.0,0.0,hispanic,-0.72,5302097753.0,0.503834866068123,0.513772503355547,0.0913773562974023,0.484678217809983,0.18697613310641,11,240.00541666666666,4.9
