,year,office_consolidated,vote_share,winner,incumbent,pid_est,gender_est,race_est,loser,incumbent_win,incumbent_lose
26,1993,Mayor,0.51,1,0,Republican,Male,Caucasian,0,0,1
33,1993,Mayor,0.48,0,1,Democrat,Male,Black,1,0,1
44,2013,Mayor,0.73,1,0,Democrat,Male,Caucasian,0,0,1
45,1997,Mayor,0.58,1,1,Republican,Male,Caucasian,0,1,0
46,2017,Mayor,0.66,1,1,Democrat,Male,Caucasian,0,1,0
48,2021,Mayor,0.67,1,0,Democrat,Male,Black,0,0,1
50,2005,Mayor,0.58,1,1,Republican,Male,Caucasian,0,1,0
52,2001,Mayor,0.5,1,0,Republican,Male,Caucasian,0,0,1
57,2001,Mayor,0.48,0,0,Democrat,Male,Caucasian,1,0,1
99,2009,Mayor,0.51,1,1,Republican,Male,Caucasian,0,1,0
121,1997,Mayor,0.4,0,0,Democrat,Female,Caucasian,1,0,1
125,2009,Mayor,0.46,0,0,Unknown,Male,Black,1,0,1
133,2005,Mayor,0.39,0,0,Democrat,Male,Caucasian,1,0,1
170,1999,Mayor,0.72,1,1,Democrat,Male,Caucasian,0,1,0
222,2019,Mayor,0.74,1,0,Democrat,Female,Black,0,0,1
269,2003,Mayor,0.78,1,1,Democrat,Male,Caucasian,0,1,0
273,1995,Mayor,0.6,1,1,Democrat,Male,Caucasian,0,1,0
294,2020,Mayor,0.61,1,1,Democrat,Female,Hispanic,0,1,0
300,2020,Mayor,0.56,1,0,Democrat,Male,Hispanic,0,0,1
327,2015,Mayor,0.56,1,1,Democrat,Male,Caucasian,0,1,0
331,2017,Mayor,0.81,1,1,Democrat,Male,Hispanic,0,1,0
339,2011,Mayor,0.55,1,0,Democrat,Male,Caucasian,0,0,1
345,2007,Mayor,0.71,1,1,Democrat,Male,Caucasian,0,1,0
369,2017,Mayor,0.28,0,0,Republican,Female,Caucasian,1,0,1
373,1993,Mayor,0.54,1,0,Republican,Male,Caucasian,0,0,1
379,2021,Mayor,0.28,0,0,Republican,Male,Caucasian,1,0,1
398,2001,Mayor,0.54,1,0,Democrat,Male,Caucasian,0,0,1
438,2005,Mayor,0.59,1,0,Democrat,Unknown,Hispanic,0,0,1
501,2020,Mayor,0.44,0,0,Democrat,Female,Caucasian,1,0,1
520,1993,Mayor,0.46,0,0,Democrat,Unknown,Asian,1,0,1
530,2003,Mayor,0.58,1,1,Democrat,Male,Black,0,1,0
546,2013,Mayor,0.24,0,0,Republican,Male,Caucasian,1,0,1
547,2001,Mayor,0.46,0,0,Democrat,Male,Hispanic,1,0,1
580,2015,Mayor,0.44,0,0,Democrat,Unknown,Hispanic,1,0,1
618,1997,Mayor,0.61,1,1,Republican,Male,Caucasian,0,1,0
699,1995,Mayor,0.77,1,1,Democrat,Male,Caucasian,0,1,0
713,2019,Mayor,0.81,1,1,Democrat,Male,Caucasian,0,1,0
770,2007,Mayor,0.83,1,0,Democrat,Male,Black,0,0,1
791,2020,Mayor,0.6,1,0,Republican,Male,Caucasian,0,0,1
811,1999,Mayor,0.51,1,0,Democrat,Male,Black,0,0,1
817,2013,Mayor,0.54,1,0,Democrat,Male,Hispanic,0,0,1
858,1995,Mayor,0.36,0,0,Democrat,Male,Black,1,0,1
890,1999,Mayor,0.49,0,0,Republican,Male,Caucasian,1,0,1
972,2005,Mayor,0.41,0,1,Democrat,Male,Caucasian,1,0,1
975,2015,Mayor,0.85,1,0,Democrat,Male,Caucasian,0,0,1
984,2000,Mayor,0.52,1,0,Republican,Male,Caucasian,0,0,1
1143,2000,Mayor,0.48,0,0,Republican,Male,Caucasian,1,0,1
1152,2003,Mayor,0.41,0,0,Republican,Male,Caucasian,1,0,1
1175,2013,Mayor,0.46,0,0,Democrat,Female,Caucasian,1,0,1
1248,2016,Mayor,0.57,1,1,Republican,Male,Caucasian,0,1,0
1294,2018,Mayor,0.61,1,1,Democrat,Male,Caucasian,0,1,0
1307,2005,Mayor,0.54,1,0,Republican,Male,Caucasian,0,0,1
1374,2004,Mayor,0.87,1,1,Democrat,Male,Caucasian,0,1,0
1377,2014,Mayor,0.69,1,1,Democrat,Male,Caucasian,0,1,0
1379,2008,Mayor,0.58,1,1,Democrat,Unknown,Asian,0,1,0
1409,2018,Mayor,0.8,1,1,Democrat,Female,Black,0,1,0
1417,2018,Mayor,0.59,1,1,Democrat,Male,Caucasian,0,1,0
1428,2002,Mayor,0.74,1,1,Democrat,Male,Caucasian,0,1,0
1437,1993,Mayor,0.91,1,1,Democrat,Male,Caucasian,0,1,0
1457,2004,Mayor,0.62,1,0,Democrat,Male,Caucasian,0,0,1
1459,2005,Mayor,0.91,1,1,Democrat,Male,Caucasian,0,1,0
1466,1999,Mayor,0.28,0,0,Democrat,Male,Black,1,0,1
1472,2020,Mayor,0.53,1,1,Democrat,Male,Caucasian,0,1,0
1492,2012,Mayor,0.52,1,0,Democrat,Male,Caucasian,0,0,1
1512,2020,Mayor,0.71,1,0,Democrat,Male,Black,0,0,1
1517,2006,Mayor,0.67,1,1,Democrat,Male,Caucasian,0,1,0
1534,2012,Mayor,0.66,1,0,Democrat,Male,Caucasian,0,0,1
1591,2001,Mayor,0.51,1,1,Democrat,Male,Black,0,1,0
1639,2004,Mayor,0.35,1,1,Republican,Male,Caucasian,0,1,0
1645,2012,Mayor,0.54,1,0,Democrat,Male,Caucasian,0,0,1
1649,1996,Mayor,0.78,1,1,Republican,Female,Caucasian,0,1,0
1677,1997,Mayor,0.53,1,0,Democrat,Male,Black,0,0,1
1679,2001,Mayor,0.49,0,0,Republican,Male,Hispanic,1,0,1
1684,2012,Mayor,0.48,0,0,Republican,Male,Caucasian,1,0,1
1685,2004,Mayor,0.34,0,0,Democrat,Female,Caucasian,1,0,1
1695,1996,Mayor,1.0,1,1,Democrat,Female,Caucasian,0,1,0
1700,2021,Mayor,0.59,1,0,Democrat,Male,Other,0,0,1
1735,2014,Mayor,0.53,1,1,Republican,Male,Caucasian,0,1,0
1750,2000,Mayor,1.0,1,1,Democrat,Female,Caucasian,0,1,0
1761,2009,Mayor,0.56,1,1,Democrat,Male,Hispanic,0,1,0
1774,2020,Mayor,0.26,0,0,Republican,Female,Caucasian,1,0,1
1776,2005,Mayor,0.46,0,0,Democrat,Female,Caucasian,1,0,1
1827,1993,Mayor,0.57,1,0,Democrat,Male,Black,0,0,1
1833,2020,Mayor,0.4,0,0,Democrat,Male,Asian,1,0,1
1872,2020,Mayor,0.47,0,0,Democrat,Female,Caucasian,1,0,1
1874,2004,Mayor,0.5,1,0,Democrat,Unknown,Asian,0,0,1
1876,2016,Mayor,0.52,1,1,Democrat,Male,Caucasian,0,1,0
1905,2004,Mayor,0.5,0,0,Democrat,Male,Caucasian,1,0,1
1921,1996,Mayor,0.57,1,1,Democrat,Male,Caucasian,0,1,0
2034,2004,Mayor,0.31,0,0,Republican,Male,Caucasian,1,0,1
2050,2011,Mayor,0.24,0,0,Democrat,Male,Caucasian,1,0,1
2076,1997,Mayor,0.34,0,0,Democrat,Male,Caucasian,1,0,1
2086,1997,Mayor,0.47,0,0,Republican,Male,Caucasian,1,0,1
2116,1999,Mayor,0.67,1,1,Democrat,Male,Black,0,1,0
2143,1997,Mayor,0.83,1,1,Democrat,Male,Black,0,1,0
2154,2019,Mayor,0.26,0,0,Democrat,Female,Black,1,0,1
2186,2014,Mayor,0.47,0,0,Democrat,Male,Hispanic,1,0,1
2191,2003,Mayor,0.63,1,0,Democrat,Male,Caucasian,0,0,1
2194,2011,Mayor,0.75,1,1,Democrat,Male,Black,0,1,0
2214,2016,Mayor,0.48,0,0,Republican,Male,Asian,1,0,1
2243,2016,Mayor,0.58,1,0,Democrat,Female,Black,0,0,1
2249,2012,Mayor,0.46,0,0,Democrat,Male,Hispanic,1,0,1
2293,2003,Mayor,0.58,1,0,Republican,Male,Caucasian,0,0,1
2294,2003,Mayor,0.53,1,0,Democrat,Male,Caucasian,0,0,1
2333,2010,Mayor,0.51,1,0,Democrat,Male,Caucasian,0,0,1
2338,1999,Mayor,0.6,1,1,Democrat,Male,Black,0,1,0
2525,2008,Mayor,0.42,0,0,Democrat,Female,Asian,1,0,1
2538,2019,Mayor,0.71,1,1,Democrat,Female,Black,0,1,0
2539,2010,Mayor,0.48,0,0,Republican,Male,Caucasian,1,0,1
2576,2012,Mayor,0.69,1,1,Republican,Male,Caucasian,0,1,0
2608,2005,Mayor,0.53,1,1,Democrat,Male,Black,0,1,0
2631,2011,Mayor,0.7,1,1,Democrat,Male,Black,0,1,0
