,year,office_consolidated,vote_share,winner,incumbent,pid_est,gender_est,race_est,loser,incumbent_win,incumbent_lose,random
46658,2011,Mayor,0.07,0,0,Republican,Male,Black,1,0,1,0.8870144434
57096,2005,Mayor,1,1,1,Republican,Male,Caucasian,0,1,0,0.768179935
28348,2005,Mayor,0.27,0,0,Republican,Male,Caucasian,1,0,1,0.1843646166
67907,2006,Mayor,0.22,0,0,Democrat,Male,Black,1,0,1,0.9051907056
14951,2013,Mayor,0.73,1,1,Democrat,Female,Caucasian,0,1,0,0.04514177631
73213,2015,Mayor,0.35,0,0,Democrat,Male,Caucasian,1,0,1,0.4519381499
36110,2012,Mayor,0.45,1,0,Republican,Male,Asian,0,0,1,0.3535335676
38937,2004,Mayor,0.49,0,1,Republican,Male,Caucasian,1,0,1,0.6214773021
96305,1994,Mayor,1,1,0,Republican,Male,Caucasian,0,0,1,0.3613757908
55817,2011,Mayor,0.62,1,1,Democrat,Male,Other,0,1,0,0.9823840738
83859,2003,Mayor,0.35,0,1,Republican,Male,Caucasian,1,0,1,0.1487670395
115001,2019,Mayor,0.02,0,0,Unknown,Female,Caucasian,1,0,1,0.4480054891
97971,1996,Mayor,0.04,0,0,Unknown,Male,Caucasian,1,0,1,0.3489852224
98544,2013,Mayor,0.12,0,0,Democrat,Male,Caucasian,1,0,1,0.348576178
22110,1998,Mayor,0.7,1,1,Democrat,Male,Caucasian,0,1,0,0.1807536969
1534,2012,Mayor,0.66,1,0,Democrat,Male,Caucasian,0,0,1,0.8095032818
121860,2011,Mayor,0,0,0,Republican,Male,Caucasian,1,0,1,0.3880231152
9971,2017,Mayor,0.33,1,0,Democrat,Male,Caucasian,0,0,1,0.3771585031
30819,2020,Mayor,0.16,0,0,Democrat,Male,Hispanic,1,0,1,0.2551107712
38941,2008,Mayor,0.26,0,0,Democrat,Male,Caucasian,1,0,1,0.6915063749
61697,2011,Mayor,0.09,0,0,Unknown,Unknown,Unknown,1,0,1,0.4090957164
36217,2016,Mayor,0.67,1,0,Unknown,Male,Hispanic,0,0,1,0.9139745041
56485,2021,Mayor,0.85,1,0,Unknown,Male,Caucasian,0,0,1,0.8107482751
36987,2016,Mayor,0.51,1,0,Republican,Male,Caucasian,0,0,1,0.8183923668
62800,2017,Mayor,0.34,0,0,Republican,Male,Caucasian,1,0,1,0.7920485171
100364,2000,Mayor,0.41,0,0,Republican,Male,Caucasian,1,0,1,0.759973424
44915,2017,Mayor,0.64,1,0,Republican,Male,Caucasian,0,0,1,0.5477138952
31148,2009,Mayor,0.69,1,1,Democrat,Male,Caucasian,0,1,0,0.7976978709
20588,1994,Mayor,0.42,0,0,Democrat,Male,Caucasian,1,0,1,0.4084331681
20840,2019,Mayor,0.47,1,0,Democrat,Male,Caucasian,0,0,1,0.7827042247
75177,2021,Mayor,0.38,0,0,Democrat,Male,Caucasian,1,0,1,0.9961362342
28734,2008,Mayor,0.57,1,1,Republican,Male,Caucasian,0,1,0,0.2911736291
51681,2015,Mayor,0.52,1,0,Democrat,Female,Caucasian,0,0,1,0.9211885936
120500,2017,Mayor,0,0,0,Democrat,Male,Caucasian,1,0,1,0.5045752053
369,2017,Mayor,0.28,0,0,Republican,Female,Caucasian,1,0,1,0.6655788864
74614,2011,Mayor,0.65,1,0,Republican,Male,Caucasian,0,0,1,0.9810411635
102587,1997,Mayor,1,1,0,Unknown,Unknown,Hispanic,0,0,1,0.2957912943
31456,2013,Mayor,0.47,0,0,Republican,Male,Caucasian,1,0,1,0.2551900144
36653,2020,Mayor,0.42,0,1,Democrat,Male,Caucasian,1,0,1,0.458063561
65462,2007,Mayor,0.29,0,0,Democrat,Male,Black,1,0,1,0.2141715098
16494,2013,Mayor,0.56,1,0,Democrat,Male,Caucasian,0,0,1,0.9741983062
95628,2002,Mayor,0.7,1,1,Republican,Male,Caucasian,0,1,0,0.6674537711
86681,2003,Mayor,0.44,0,0,Democrat,Female,Caucasian,1,0,1,0.2282157132
90626,2010,Mayor,0.02,0,0,Democrat,Female,Black,1,0,1,0.727414954
72532,2017,Mayor,0.16,0,0,Republican,Male,Hispanic,1,0,1,0.3162284629
22606,2018,Mayor,0.52,1,0,Democrat,Male,Caucasian,0,0,1,0.8957755168
36295,2016,Mayor,0.37,0,0,Democrat,Female,Caucasian,1,0,1,0.7304310278
11756,2007,Mayor,0.09,0,0,Republican,Unknown,Unknown,1,0,1,0.784068476
94757,2011,Mayor,1,1,1,Democrat,Male,Caucasian,0,1,0,0.7225964681
3786,2010,Mayor,0.96,1,0,Democrat,Male,Caucasian,0,0,1,0.4395763699
21152,2016,Mayor,1,1,1,Republican,Female,Asian,0,1,0,0.7056571322
90857,2003,Mayor,0.19,0,0,Republican,Male,Caucasian,1,0,1,0.3844750195
12361,2004,Mayor,1,1,0,Republican,Male,Caucasian,0,0,1,0.3196355574
60497,2000,Mayor,0.35,1,0,Republican,Male,Caucasian,0,0,1,0.8664454399
112526,1995,Mayor,0.22,0,0,Unknown,Female,Caucasian,1,0,1,0.5293295822
52954,1994,Mayor,0.4,0,0,Democrat,Female,Caucasian,1,0,1,0.9530070473
114271,2012,Mayor,0.01,0,0,Unknown,Unknown,Caucasian,1,0,1,0.2078141547
23073,2015,Mayor,0.51,1,0,Democrat,Male,Caucasian,0,0,1,0.04666830893
33035,2017,Mayor,0.58,1,0,Republican,Male,Caucasian,0,0,1,0.6671968658
89815,2015,Mayor,0.18,0,0,Unknown,Male,Caucasian,1,0,1,0.04919417883
10175,2010,Mayor,0.85,1,1,Democrat,Male,Caucasian,0,1,0,0.05447264281
91157,1999,Mayor,0.05,0,0,Unknown,Male,Caucasian,1,0,1,0.7344856709
80928,1997,Mayor,0.44,0,0,Unknown,Male,Caucasian,1,0,1,0.1672143299
30328,2008,Mayor,0.53,1,0,Democrat,Male,Caucasian,0,0,1,0.2025128306
122075,1997,Mayor,0,0,0,Republican,Male,Caucasian,1,0,1,0.2457769531
11765,2001,Mayor,0.45,0,0,Democrat,Male,Black,1,0,1,0.4613227055
22230,2010,Mayor,0.49,1,1,Democrat,Male,Hispanic,0,1,0,0.5533822984
8685,2011,Mayor,0.3,0,0,Republican,Male,Black,1,0,1,0.928363557
118103,2017,Mayor,0.05,0,0,Unknown,Male,Caucasian,1,0,1,0.9037049052
121778,2007,Mayor,0.01,0,0,Unknown,Male,Caucasian,1,0,1,0.7423625525
28687,2019,Mayor,0.35,0,1,Democrat,Male,Caucasian,1,0,1,0.7813487599
91791,2007,Mayor,0.01,0,0,Democrat,Male,Caucasian,1,0,1,0.3470193705
18398,2016,Mayor,0.49,1,1,Democrat,Male,Caucasian,0,1,0,0.8209528961
78564,1999,Mayor,1,1,1,Republican,Male,Caucasian,0,1,0,0.5402197541
69018,2018,Mayor,0.48,0,0,Democrat,Male,Hispanic,1,0,1,0.3657928653
41536,2002,Mayor,0.22,0,0,Republican,Male,Caucasian,1,0,1,0.5978364803
41584,2020,Mayor,0.33,0,0,Republican,Male,Hispanic,1,0,1,0.7699699359
113043,2021,Mayor,0.01,0,0,Democrat,Male,Caucasian,1,0,1,0.7781028391
20392,1998,Mayor,0.56,1,1,Democrat,Male,Black,0,1,0,0.3960500021
30928,2001,Mayor,0.38,1,0,Democrat,Male,Caucasian,0,0,1,0.4177764445
18870,2002,Mayor,0.46,0,0,Democrat,Male,Black,1,0,1,0.701896619
36375,2010,Mayor,0.38,1,0,Republican,Male,Caucasian,0,0,1,0.4497374642
42015,2015,Mayor,0.44,0,0,Democrat,Male,Caucasian,1,0,1,0.9191352239
51268,2001,Mayor,0,0,0,Unknown,Unknown,Unknown,1,0,1,0.8362964999
21956,2019,Mayor,0.74,1,1,Republican,Male,Caucasian,0,1,0,0.06700698847
43961,2003,Mayor,1,1,1,Republican,Male,Caucasian,0,1,0,0.5344551382
