contest,fips,geo_name,year,month,votes,candidate_count,incumbent,winner,vote_share,n_winners,prob_democrat,prob_republican,pid_est,prob_male,prob_female,gender_est,prob_black,prob_white,prob_hispanic,prob_asian,prob_other,race_est,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american
3651000_1993_11_new york_NY_Mayor_mayor_1,3651000,new york,1993,11.0,876896.0,5,1.0,lose,0.48,1,1.0,0.0,D,1.0,0.0,M,1.0,0.0,0.0,0.0,0.0,black,0.529238973373532,0.499826019156776,0.280773008477616,0.251431636317003,0.200464219846201
3651000_1997_11_new york_NY_Mayor_mayor_1,3651000,new york,1997,11.0,783815.0,6,1.0,win,0.58,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.527510845324756,0.469403162561867,0.272299896973666,0.261922178255771,0.219124182765178
3651000_2017_11_new york_NY_Mayor_mayor_1,3651000,new york,2017,11.0,760112.0,7,1.0,win,0.66,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.523626277331531,0.431090707038202,0.246823068276643,0.289246664709414,0.175935474648015
3651000_2005_11_new york_NY_Mayor_mayor_1,3651000,new york,2005,11.0,753089.0,8,1.0,win,0.58,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.525646773085678,0.443310286840985,0.260708068207853,0.27777198392884,0.245356809277593
3651000_2009_11_new york_NY_Mayor_mayor_1,3651000,new york,2009,11.0,585470.0,12,1.0,win,0.51,1,0.06,0.94,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.525192392123681,0.440689700221225,0.256518472097574,0.284157503304035,0.255146932736139
1714000_1999_2_chicago_IL_Mayor_mayor_1,1714000,chicago,1999,2.0,429746.0,2,1.0,win,0.72,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.515385710598579,0.423075254370956,0.370048649938449,0.253819957826932,0.177183858224164
1714000_2003_2_chicago_IL_Mayor_mayor_1,1714000,chicago,2003,2.0,363553.0,4,1.0,win,0.78,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.514790979059313,0.428734966810813,0.356208952215384,0.268845870304226,0.182534350878465
1714000_1995_4_chicago_IL_Mayor_mayor_1,1714000,chicago,1995,4.0,360372.0,4,1.0,win,0.6,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.517673355507798,0.43677366744928,0.379244470679977,0.228160788797647,0.166358349468566
455000_2020_11_phoenix_AZ_Mayor_mayor_1,455000,phoenix,2020,11.0,349959.0,5,1.0,win,0.61,1,1.0,0.0,D,0.0,1.0,F,0.0,0.0,1.0,0.0,0.0,hispanic,0.501673895617743,0.728730931766173,0.0711609248403415,0.426193358672935,0.0378942778917794
1714000_2015_4_chicago_IL_Mayor_mayor_1,1714000,chicago,2015,4.0,332171.0,2,1.0,win,0.56,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.514192179361558,0.474933189290023,0.312721090376807,0.288436248948182,0.127481289826554
644000_2017_3_los angeles_CA_Mayor_mayor_1,644000,los angeles,2017,3.0,331310.0,11,1.0,win,0.81,1,1.0,0.0,D,1.0,0.0,M,0.0,0.0,1.0,0.0,0.0,hispanic,0.503834866068123,0.513772503355547,0.0913773562974023,0.484678217809983,0.18697613310641
1714000_2007_2_chicago_IL_Mayor_mayor_1,1714000,chicago,2007,2.0,324519.0,3,1.0,win,0.71,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.514760551976698,0.440847387756731,0.340821295498473,0.280327363930855,0.186059838165667
4260000_2003_11_philadelphia_PA_Mayor_mayor_1,4260000,philadelphia,2003,11.0,267276.0,3,1.0,win,0.58,1,1.0,0.0,D,0.99,0.01,M,1.0,0.0,0.0,0.0,0.0,black,0.533246220460796,0.438280243481239,0.432623816603996,0.0963533454935849,0.101887959061577
644000_1997_4_los angeles_CA_Mayor_mayor_1,644000,los angeles,1997,4.0,250771.0,5,1.0,win,0.61,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.50042873624252,0.486997559040278,0.120636281553908,0.445449440535844,0.349143771768968
4260000_1995_11_philadelphia_PA_Mayor_mayor_1,4260000,philadelphia,1995,11.0,237073.0,4,1.0,win,0.77,1,1.0,0.0,D,0.97,0.03,M,0.06,0.81,0.12,0.01,0.0,caucasian,0.53503433383343,0.492717071931679,0.415356217336226,0.0706053497520882,0.0784336426679577
4260000_2019_11_philadelphia_PA_Mayor_mayor_1,4260000,philadelphia,2019,11.0,234749.0,2,1.0,win,0.81,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.526801671412432,0.40698122090542,0.422579825527148,0.144442628487433,0.0774661615591662
644000_2005_5_los angeles_CA_Mayor_mayor_1,644000,los angeles,2005,5.0,203968.0,2,1.0,lose,0.41,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.501713836289845,0.483582925553084,0.104321406245927,0.475053854625041,0.35535497672232
666000_2016_6_san diego_CA_Mayor_mayor_1,666000,san diego,2016,6.0,181147.0,3,1.0,win,0.57,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.49517941229391,0.62624433957426,0.0652579322793135,0.29705002966743,0.21507937541661
2148000_2018_11_louisville_KY_Mayor_mayor_1,2148000,louisville,2018,11.0,177749.0,9,1.0,win,0.61,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601
2404000_2004_11_baltimore_MD_Mayor_mayor_1,2404000,baltimore,2004,11.0,173030.0,4,1.0,win,0.87,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.531914398507819,0.308216716799073,0.640986045106435,0.02691452629387,0.0302541496693132
2148000_2014_11_louisville_KY_Mayor_mayor_1,2148000,louisville,2014,11.0,172810.0,2,1.0,win,0.69,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601
1517000_2008_11_honolulu_HI_Mayor_mayor_1,1517000,honolulu,2008,11.0,172798.0,2,1.0,win,0.58,1,1.0,0.0,D,,,,0.0,0.0,0.0,1.0,0.0,asian,0.508611434736868,0.196667895398176,0.0162461624562433,0.0436666065754177,0.635970801034287
1150000_2018_11_washington_DC_Mayor_mayor_1,1150000,washington,2018,11.0,171608.0,4,1.0,win,0.8,1,1.0,0.0,D,0.01,0.99,F,1.0,0.0,0.0,0.0,0.0,black,0.525969981947,0.407080734616827,0.471931170773017,0.106192639912955,0.0470671631977481
4805000_2018_11_austin_TX_Mayor_mayor_1,4805000,austin,2018,11.0,171198.0,7,1.0,win,0.59,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.492791167062627,0.717621412336756,0.0789312229682711,0.341583984537161,0.0993051124117755
2148000_2002_11_louisville_KY_Mayor_mayor_1,2148000,louisville,2002,11.0,170384.0,4,1.0,win,0.74,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601
4835000_1993_11_houston_TX_Mayor_mayor_1,4835000,houston,1993,11.0,169752.0,5,1.0,win,0.91,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.502868085684657,0.516618817198516,0.272551030344273,0.305625133579397,0.198302572605702
4835000_2005_11_houston_TX_Mayor_mayor_1,4835000,houston,2005,11.0,168331.0,5,1.0,win,0.91,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.499420653998524,0.49892821845768,0.24527160434818,0.4060788108491,0.217980464170445
4159000_2020_11_portland_OR_Mayor_mayor_1,4159000,portland,2020,11.0,167260.0,2,1.0,win,0.53,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.504302709940167,0.773760985353895,0.0580451300266082,0.0971592661295447,0.0817522637073816
2148000_2006_11_louisville_KY_Mayor_mayor_1,2148000,louisville,2006,11.0,164414.0,3,1.0,win,0.67,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.527172746467055,0.629357884096772,0.330116184224391,0.0185574735297446,0.0215625743957601
4835000_2001_12_houston_TX_Mayor_mayor_1,4835000,houston,2001,12.0,160507.0,2,1.0,win,0.51,1,1.0,0.0,D,0.89,0.11,M,1.0,0.0,0.0,0.0,0.0,black,0.500401935850915,0.493968577930397,0.251547422176894,0.380500529866483,0.218236646756503
666000_2004_11_san diego_CA_Mayor_mayor_1,666000,san diego,2004,11.0,157959.0,3,1.0,win,0.35,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.495338871596976,0.596635614217108,0.0740958578144913,0.267447541659127,0.273835882186334
666000_1996_3_san diego_CA_Mayor_mayor_1,666000,san diego,1996,3.0,157385.0,6,1.0,win,0.78,1,0.0,1.0,R,0.02,0.98,F,0.0,1.0,0.0,0.0,0.0,caucasian,0.493427318335765,0.629544760906755,0.084740795216559,0.235072781742648,0.2505903641985
4159000_1996_11_portland_OR_Mayor_mayor_1,4159000,portland,1996,11.0,155547.0,1,1.0,win,1.0,1,1.0,0.0,D,0.02,0.98,F,0.0,1.0,0.0,0.0,0.0,caucasian,0.50956663242691,0.806012413348364,0.0704875574823231,0.0535782400909217,0.0873303379080014
666000_2014_2_san diego_CA_Mayor_mayor_1,666000,san diego,2014,2.0,153491.0,2,1.0,win,0.53,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.495020686823631,0.613806925004993,0.0659286387190469,0.293902871438806,0.239020696811145
4159000_2000_11_portland_OR_Mayor_mayor_1,4159000,portland,2000,11.0,153052.0,1,1.0,win,1.0,1,1.0,0.0,D,0.02,0.98,F,0.0,1.0,0.0,0.0,0.0,caucasian,0.505661275965233,0.779105346414147,0.066364782346571,0.0681469833932125,0.102477505145326
644000_2009_3_los angeles_CA_Mayor_mayor_1,644000,los angeles,2009,3.0,152613.0,10,1.0,win,0.56,1,1.0,0.0,D,1.0,0.0,M,0.0,0.0,1.0,0.0,0.0,hispanic,0.501871314402543,0.494996930022486,0.0978807825025402,0.482884381285759,0.352774861878979
1517000_2016_11_honolulu_HI_Mayor_mayor_1,1517000,honolulu,2016,11.0,147941.0,2,1.0,win,0.52,1,1.0,0.0,D,0.95,0.05,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.508611434736868,0.196667895398176,0.0162461624562433,0.0436666065754177,0.635970801034287
1517000_1996_11_honolulu_HI_Mayor_mayor_1,1517000,honolulu,1996,11.0,146034.0,2,1.0,win,0.57,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.507662535298416,0.224800053912508,0.0150270509418464,0.0444920859803368,0.668270756754522
4835000_1999_11_houston_TX_Mayor_mayor_1,4835000,houston,1999,11.0,139150.0,3,1.0,win,0.67,1,1.0,0.0,D,0.89,0.11,M,1.0,0.0,0.0,0.0,0.0,black,0.500964517652676,0.496141546284282,0.25589275573553,0.364322984472053,0.215443818146258
