contest,fips,geo_name,year,month,votes,vote_share,incumbent,winner,n_winners,prob_democrat,prob_republican,pid_est,prob_male,prob_female,gender_est,prob_black,prob_white,prob_hispanic,prob_asian,prob_other,race_est,contributor.cfscore,bonica.cid,loc_per_wmn,loc_per_white,loc_per_black,loc_per_hisp,loc_per_asian,candidate_count
107000_1995_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,1995,10.0,127.0,0.0,0.0,lose,1,,,,1.0,0.0,M,0.0,0.99,0.0,0.0,0.0,caucasian,,,0.540989271152837,0.300195321323038,0.683640852060568,0.0097019597200856,0.0105175404816364,7
107000_1995_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,1995,10.0,69.0,0.0,0.0,lose,1,0.73,0.27,D,1.0,0.0,M,0.96,0.04,0.0,0.0,0.0,black,,,0.540989271152837,0.300195321323038,0.683640852060568,0.0097019597200856,0.0105175404816364,7
107000_1995_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,1995,10.0,16399.0,0.31,0.0,lose,1,0.99,0.01,D,1.0,0.0,M,0.93,0.07,0.0,0.0,0.0,black,-0.18,2963001311.0,0.540989271152837,0.300195321323038,0.683640852060568,0.0097019597200856,0.0105175404816364,7
107000_1995_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,1995,10.0,547.0,0.01,0.0,lose,1,0.87,0.13,D,0.02,0.98,F,0.97,0.03,0.0,0.0,0.0,black,-0.97,5000036164193545.0,0.540989271152837,0.300195321323038,0.683640852060568,0.0097019597200856,0.0105175404816364,7
107000_1995_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,1995,10.0,4963.0,0.1,0.0,lose,1,,,,,,,,,,,,,,2288641665.0,0.540989271152837,0.300195321323038,0.683640852060568,0.0097019597200856,0.0105175404816364,7
107000_1995_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,1995,10.0,1501.0,0.03,0.0,lose,1,0.26,0.74,R,1.0,0.0,M,0.78,0.2,0.02,0.0,0.0,black,,,0.540989271152837,0.300195321323038,0.683640852060568,0.0097019597200856,0.0105175404816364,7
107000_2003_11_birmingham_AL_Mayor_mayor_1,107000,birmingham,2003,11.0,21383.0,0.46,0.0,lose,1,1.0,0.0,D,0.0,1.0,F,1.0,0.0,0.0,0.0,0.0,black,,,0.536580227632374,0.235319330559642,0.734422483655238,0.021740548925492,0.0194608922937244,2
107000_2007_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,2007,10.0,59.0,0.0,0.0,lose,1,,,,1.0,0.0,M,0.27,0.71,0.02,0.0,0.0,caucasian,,,0.533935804458517,0.228088953306217,0.734205409175733,0.0300596884257417,0.025959499584514,10
107000_2007_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,2007,10.0,42.0,0.0,0.0,lose,1,0.26,0.74,R,1.0,0.0,M,0.43,0.56,0.0,0.0,0.0,caucasian,,,0.533935804458517,0.228088953306217,0.734205409175733,0.0300596884257417,0.025959499584514,10
107000_2007_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,2007,10.0,3505.0,0.07,0.0,lose,1,1.0,0.0,D,1.0,0.0,M,1.0,0.0,0.0,0.0,0.0,black,-0.74,2335672488.0,0.533935804458517,0.228088953306217,0.734205409175733,0.0300596884257417,0.025959499584514,10
107000_2007_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,2007,10.0,736.0,0.01,0.0,lose,1,0.91,0.09,D,0.0,1.0,F,0.0,1.0,0.0,0.0,0.0,caucasian,-0.47,5000002643859343.0,0.533935804458517,0.228088953306217,0.734205409175733,0.0300596884257417,0.025959499584514,10
107000_2007_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,2007,10.0,26227.0,0.5,0.0,win,1,1.0,0.0,D,1.0,0.0,M,1.0,0.0,0.0,0.0,0.0,black,,,0.533935804458517,0.228088953306217,0.734205409175733,0.0300596884257417,0.025959499584514,10
107000_2007_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,2007,10.0,15392.0,0.3,0.0,lose,1,0.98,0.02,D,1.0,0.0,M,0.18,0.81,0.0,0.0,0.0,caucasian,-0.14,2748901823.0,0.533935804458517,0.228088953306217,0.734205409175733,0.0300596884257417,0.025959499584514,10
107000_2007_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,2007,10.0,41.0,0.0,0.0,lose,1,0.07,0.93,R,1.0,0.0,M,0.34,0.64,0.02,0.0,0.0,caucasian,,111920441.0,0.533935804458517,0.228088953306217,0.734205409175733,0.0300596884257417,0.025959499584514,10
107000_2007_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,2007,10.0,71.0,0.0,0.0,lose,1,0.75,0.25,D,0.98,0.02,M,0.43,0.46,0.07,0.03,0.01,caucasian,,3164119968.0,0.533935804458517,0.228088953306217,0.734205409175733,0.0300596884257417,0.025959499584514,10
107000_2007_10_birmingham_AL_Mayor_mayor_1,107000,birmingham,2007,10.0,1804.0,0.03,0.0,lose,1,1.0,0.0,D,0.0,1.0,F,1.0,0.0,0.0,0.0,0.0,black,,,0.533935804458517,0.228088953306217,0.734205409175733,0.0300596884257417,0.025959499584514,10
107000_2011_8_birmingham_AL_Mayor_mayor_1,107000,birmingham,2011,8.0,285.0,0.02,0.0,lose,1,0.87,0.13,D,0.98,0.02,M,0.94,0.06,0.0,0.0,0.0,black,,3108070316.0,0.531574753455311,0.226210563376778,0.730491897203348,0.0365311810733301,0.0288287870604523,5
