contest,fips,geo_name,year,month,votes,candidate_count,ledb_candid,incumbent,vote_share,winner,n_winners,prob_democrat,prob_republican,pid_est,prob_male,prob_female,gender_est,prob_black,prob_white,prob_hispanic,prob_asian,prob_other,race_est,contributor.cfscore,bonica.cid,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,W_ledb_candid,W_vote_share,W_votes,W_pid_est,W_race_est,W_gender_est,W_contributor.cfscore,W_bonica.cid,RU_ledb_candid,RU_vote_share,RU_votes,RU_pid_est,RU_race_est,RU_gender_est,W_ledb_candid,W_vote_share,W_votes,W_pid_est,W_race_est,W_gender_est,W_contributor.cfscore,W_bonica.cid,RU_ledb_candid,RU_vote_share,RU_votes,RU_pid_est,RU_race_est,RU_gender_est,RU_contributor.cfscore,RU_bonica.cid
3651000_1993_11_new york_NY_Mayor_mayor_1,3651000,new york,1993,11.0,876896.0,5,35567,1.0,0.48,lose,1,1.0,0.0,D,1.0,0.0,M,1.0,0.0,0.0,0.0,0.0,black,-0.49,30567015007.0,0.529238973373532,0.499826019156776,0.280773008477616,0.251431636317003,0.200464219846201,35608.0,0.51,930236.0,R,caucasian,M,0.84,4667066039.0,35567.0,0.48,876896.0,D,black,M,35608.0,0.51,930236.0,R,caucasian,M,0.84,4667066039.0,35567.0,0.48,876896.0,D,black,M,-0.49,30567015007.0
3651000_1997_11_new york_NY_Mayor_mayor_1,3651000,new york,1997,11.0,783815.0,6,35608,1.0,0.58,win,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.55,3300166123.0,0.527510845324756,0.469403162561867,0.272299896973666,0.261922178255771,0.219124182765178,35608.0,0.58,783815.0,R,caucasian,M,0.55,3300166123.0,35611.0,0.4,549335.0,D,caucasian,F,35608.0,0.58,783815.0,R,caucasian,M,0.55,3300166123.0,35611.0,0.4,549335.0,D,caucasian,F,-0.83,5000005462846415.0
3651000_2017_11_new york_NY_Mayor_mayor_1,3651000,new york,2017,11.0,760112.0,7,34761,1.0,0.66,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.523626277331531,0.431090707038202,0.246823068276643,0.289246664709414,0.175935474648015,34761.0,0.66,760112.0,D,caucasian,M,,,35600.0,0.28,316948.0,R,caucasian,F,34761.0,0.66,760112.0,D,caucasian,M,,,35600.0,0.28,316948.0,R,caucasian,F,0.7,5000003692213705.0
3651000_2005_11_new york_NY_Mayor_mayor_1,3651000,new york,2005,11.0,753089.0,8,35590,1.0,0.58,win,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.525646773085678,0.443310286840985,0.260708068207853,0.27777198392884,0.245356809277593,35590.0,0.58,753089.0,R,caucasian,M,,,35572.0,0.39,503219.0,D,caucasian,M,35590.0,0.58,753089.0,R,caucasian,M,,,35572.0,0.39,503219.0,D,caucasian,M,-0.07,30521715128.0
3651000_2009_11_new york_NY_Mayor_mayor_1,3651000,new york,2009,11.0,585470.0,12,35590,1.0,0.51,win,1,0.06,0.94,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,,,0.525192392123681,0.440689700221225,0.256518472097574,0.284157503304035,0.255146932736139,35590.0,0.51,585470.0,R,caucasian,M,,,35625.0,0.46,534876.0,,black,M,35590.0,0.51,585470.0,R,caucasian,M,,,35625.0,0.46,534876.0,,black,M,,
1714000_1999_2_chicago_IL_Mayor_mayor_1,1714000,chicago,1999,2.0,429746.0,2,9991,1.0,0.72,win,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.45,33316410067.0,0.515385710598579,0.423075254370956,0.370048649938449,0.253819957826932,0.177183858224164,9991.0,0.72,429746.0,D,caucasian,M,-0.45,33316410067.0,9360.0,0.28,167845.0,D,black,M,9991.0,0.72,429746.0,D,caucasian,M,-0.45,33316410067.0,9360.0,0.28,167845.0,D,black,M,-1.0,2871954339.0
1714000_2003_2_chicago_IL_Mayor_mayor_1,1714000,chicago,2003,2.0,363553.0,4,9991,1.0,0.78,win,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.45,33316410067.0,0.514790979059313,0.428734966810813,0.356208952215384,0.268845870304226,0.182534350878465,9991.0,0.78,363553.0,D,caucasian,M,-0.45,33316410067.0,9987.0,0.14,64941.0,D,black,M,9991.0,0.78,363553.0,D,caucasian,M,-0.45,33316410067.0,9987.0,0.14,64941.0,D,black,M,,
1714000_1995_4_chicago_IL_Mayor_mayor_1,1714000,chicago,1995,4.0,360372.0,4,9991,1.0,0.6,win,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.45,33316410067.0,0.517673355507798,0.43677366744928,0.379244470679977,0.228160788797647,0.166358349468566,9991.0,0.6,360372.0,D,caucasian,M,-0.45,33316410067.0,9990.0,0.36,217315.0,D,black,M,9991.0,0.6,360372.0,D,caucasian,M,-0.45,33316410067.0,9990.0,0.36,217315.0,D,black,M,-0.47,29105833409.0
455000_2020_11_phoenix_AZ_Mayor_mayor_1,455000,phoenix,2020,11.0,349959.0,5,45605,1.0,0.61,win,1,1.0,0.0,D,0.0,1.0,F,0.0,0.0,1.0,0.0,0.0,hispanic,-0.74,5000026571903843.0,0.501673895617743,0.728730931766173,0.0711609248403415,0.426193358672935,0.0378942778917794,45605.0,0.61,349959.0,D,hispanic,F,-0.74,5000026571903843.0,45652.0,0.26,152172.0,R,caucasian,F,45605.0,0.61,349959.0,D,hispanic,F,-0.74,5000026571903843.0,45652.0,0.26,152172.0,R,caucasian,F,,
1714000_2015_4_chicago_IL_Mayor_mayor_1,1714000,chicago,2015,4.0,332171.0,2,9992,1.0,0.56,win,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.56,3153127123.0,0.514192179361558,0.474933189290023,0.312721090376807,0.288436248948182,0.127481289826554,9992.0,0.56,332171.0,D,caucasian,M,-0.56,3153127123.0,9979.0,0.44,258562.0,D,hispanic,,9992.0,0.56,332171.0,D,caucasian,M,-0.56,3153127123.0,9979.0,0.44,258562.0,D,hispanic,,,
644000_2017_3_los angeles_CA_Mayor_mayor_1,644000,los angeles,2017,3.0,331310.0,11,69968,1.0,0.81,win,1,1.0,0.0,D,1.0,0.0,M,0.0,0.0,1.0,0.0,0.0,hispanic,-0.72,5302097753.0,0.503834866068123,0.513772503355547,0.0913773562974023,0.484678217809983,0.18697613310641,69968.0,0.81,331310.0,D,hispanic,M,-0.72,5302097753.0,70162.0,0.08,33228.0,D,caucasian,M,69968.0,0.81,331310.0,D,hispanic,M,-0.72,5302097753.0,70162.0,0.08,33228.0,D,caucasian,M,-0.71,4166388325.0
1714000_2007_2_chicago_IL_Mayor_mayor_1,1714000,chicago,2007,2.0,324519.0,3,9991,1.0,0.71,win,1,1.0,0.0,D,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,-0.45,33316410067.0,0.514760551976698,0.440847387756731,0.340821295498473,0.280327363930855,0.186059838165667,9991.0,0.71,324519.0,D,caucasian,M,-0.45,33316410067.0,9974.0,0.2,91878.0,D,black,F,9991.0,0.71,324519.0,D,caucasian,M,-0.45,33316410067.0,9974.0,0.2,91878.0,D,black,F,-0.95,5000036119959992.0
